사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,가해운전자 차종,가해운전자 상해정도,피해운전자 차종,피해운전자 상해정도
2019년 1월 9일 13시,서울특별시 동대문구 이문동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 9일 14시,서울특별시 서초구 반포동,중상사고,0,1,0,0,승합,상해없음,,
2019년 1월 9일 15시,서울특별시 중랑구 중화동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 9일 16시,서울특별시 영등포구 여의도동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 9일 16시,서울특별시 양천구 신정동,중상사고,0,1,1,1,승용,부상신고,화물,중상
2019년 1월 9일 17시,서울특별시 강북구 수유동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 9일 18시,서울특별시 구로구 구로동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 9일 19시,서울특별시 서대문구 대현동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 9일 19시,서울특별시 용산구 동자동,중상사고,0,1,0,0,승용,상해없음,원동기,중상
2019년 1월 9일 21시,서울특별시 광진구 구의동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 9일 21시,서울특별시 강남구 논현동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 9일 22시,서울특별시 성북구 삼선동3가,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
2019년 1월 9일 22시,서울특별시 강북구 미아동,중상사고,0,1,1,0,이륜,중상,이륜,경상
2019년 1월 9일 22시,서울특별시 노원구 하계동,중상사고,0,1,0,0,승용,상해없음,자전거,중상
2019년 1월 9일 23시,서울특별시 송파구 잠실동,중상사고,0,2,0,0,승용,상해없음,승용,중상
2019년 1월 10일 01시,서울특별시 광진구 화양동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 10일 01시,서울특별시 중랑구 망우동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 10일 05시,서울특별시 강서구 화곡동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 10일 07시,서울특별시 성동구 성수동2가,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 10일 08시,서울특별시 동대문구 용두동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 10일 08시,서울특별시 동대문구 신설동,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 1월 10일 09시,서울특별시 은평구 응암동,중상사고,0,1,1,0,승용,기타불명,승용,중상
2019년 1월 10일 09시,서울특별시 송파구 풍납동,중상사고,0,1,1,0,승합,상해없음,승용,중상
2019년 1월 10일 10시,서울특별시 영등포구 도림동,중상사고,0,1,0,0,이륜,중상,,
